335.64,127.51,23,9,71
335.53,127.76,10,10,71
337.96,127.02,16,11,71
28.672,103.66,3,2,72
28.162,103.29,22,3,72
27.968,103.5,18,4,72
29.271,103.98,13,5,72
28.364,103.62,13,6,72
29.429,103.66,9,7,72
29.501,103.5,4,8,72
312.31,120.43,15,2,73
309.91,118.13,39,3,73
306.91,116.34,30,4,73
306.14,114.58,15,5,73
307.22,115.19,24,6,73
204.48,114.22,27,2,74
203.29,113.22,24,3,74
204.12,113.7,18,4,74
201.73,113.26,17,5,74
84.791,130.41,5,2,75
80.637,131.61,8,3,75
78.269,130.56,37,4,75
78.753,130.67,36,5,75
49.499,70.502,6,2,76
50.837,69.537,11,3,76
51.36,68.905,12,4,76
50.621,69.085,11,5,76
323.17,82.169,6,2,77
323.72,79.991,7,3,77
323.52,82.035,32,4,77
250.01,151.7,7,2,78
250.99,151.5,6,3,78
251.01,151.49,6,4,78
281.64,103.51,27,3,79
281.67,103.58,25,4,79
281.3,103.4,26,5,79
281.07,103.4,15,6,79
281.01,103.2,27,7,79
280.86,103.16,24,8,79
281.65,103.4,21,9,79
280.64,103.77,15,10,79
282.67,103.13,18,11,79
283.3,102.44,7,12,79
281.99,102.77,4,13,79
339.2,85.612,5,3,80
342.37,85.279,32,4,80
340.73,84.908,12,5,80
339.87,84.616,21,6,80
341.58,85.313,47,7,80
340.9,84.706,52,8,80
240.5,140.5,4,3,81
242.42,150.1,23,4,81
242.39,150.03,23,5,81
242.7,149.54,47,6,81
242.15,150.12,30,7,81
182.98,26.657,17,3,82
183.8,26.394,5,4,82
184.79,26.066,37,5,82
182.78,25.393,5,6,82
179.24,26.878,8,7,82
158.71,33.884,69,3,83
156.98,34.592,81,4,83
155.8,34.403,5,5,83
154.68,34.802,10,6,83
156.75,34.575,120,7,83
289.63,49.38,31,3,84
289.68,47.662,3,4,84
289.02,48.975,13,5,84
288.8,49.372,26,6,84
22.984,65.986,9,3,85
21.921,64.691,11,4,85
22.021,64.502,10,5,85
